category,region,loyalty_tier,discount_rate,avg_pred_rev,avg_base,uplift_abs,uplift_pct,n
outdoors,west,brnze,0.05,129.38335763118485,114.06826791059302,15.315089720591828,0.13426249035880716,1
cleaning,south,brnze,0.05,80.82241164336695,73.75623293920454,7.066178704162411,0.0958044957364741,1
outdoors,west,silver,0.05,77.39868931324348,71.39126842379636,6.007420889447117,0.5148065381249584,25
cleaning,north,silver,0.05,77.63825565074751,74.45045480704103,3.1878008437064786,0.3815651883453357,36
cleaning,west,gold,0.05,70.54462931257311,68.55217722887434,1.9924520836987871,0.23385905363017015,484
storage,west,gold,0.05,63.525385159311845,62.314046332724274,1.2113388265875757,0.31158575644432984,100
cleaning,south,gold,0.05,60.882972675466085,60.39604418258758,0.48692849287851114,0.2322984525016126,625
cleaning,south,bronze,0.05,48.186119528110545,47.94656078188178,0.23955874622876216,0.26737415310789286,121
cleaning,south,brnze,0.1,73.86773517597405,73.75623293920454,0.11150223676951043,0.001511766969734192,1
cleaning,central,gold,0.05,54.000235783211,53.93821693279463,0.06201885041637415,0.22420123567667496,841
personal care,central,bronze,0.0,92.32148418891468,92.3214841889147,8.881784197001252e-16,0.1029137318405557,16
kitchen,west,gold,0.0,52.3156892394981,52.3156892394981,8.526512829121202e-16,0.24630118641416512,25
outdoors,central,gold,0.0,64.31909140432296,64.31909140432296,1.9737298215558337e-16,0.37908355277261957,144
kitchen,central,silver,0.0,66.99792231762478,66.99792231762478,1.9737298215558337e-16,0.38920815197853603,36
outdoors,west,silver,0.0,71.39126842379636,71.39126842379636,1.4210854715202004e-16,0.3972324484168804,25
storage,west,gold,0.0,62.314046332724274,62.314046332724274,1.4210854715202004e-16,0.28657567980810245,100
cleaning,east,gold,0.0,62.70790691642651,62.70790691642651,1.2688263138573217e-16,0.2291843492405131,784
cleaning,west,silver,0.0,68.5513447505043,68.5513447505043,1.0658141036401502e-16,0.3871443328554625,100
storage,north,gold,0.0,81.90065555976102,81.90065555976102,7.250436079184695e-17,0.32111580543707496,196
cleaning,west,gold,0.0,68.55217722887434,68.55217722887434,2.9361270072731413e-17,0.19901012088571976,484
cleaning,north,silver,0.0,74.45045480704103,74.45045480704103,0.0,0.3248385831926559,36
kitchen,east,silver,0.0,45.864983059111466,45.864983059111466,0.0,0.07102135475746833,4
outdoors,south,silver,0.0,70.74812860101441,70.74812860101441,0.0,0.28535000914380904,36
outdoors,south,gold,0.0,75.65009337717092,75.65009337717092,0.0,0.2584204090452443,121
outdoors,south,bronze,0.0,68.13606938096618,68.13606938096618,0.0,0.4506718759624253,25
cleaning,south,brnze,0.0,73.75623293920454,73.75623293920454,0.0,0.0,1
outdoors,west,brnze,0.0,114.06826791059302,114.06826791059302,0.0,0.0,1
kitchen,north,silver,0.0,39.01426430907888,39.01426430907888,0.0,0.0801638497730146,49
kitchen,north,gold,0.0,36.31346652438759,36.31346652438759,0.0,0.04197547814266743,36
outdoors,north,bronze,0.0,66.1597542049305,66.1597542049305,0.0,0.31631968441535924,36
kitchen,south,bronze,0.0,69.46170200941788,69.46170200941788,0.0,0.275758008575021,16
outdoors,east,silver,0.0,64.36174471209455,64.36174471209455,0.0,0.13096571374574284,16
outdoors,east,gold,0.0,64.3033882370363,64.3033882370363,0.0,0.20985191150631835,121
outdoors,east,bronze,0.0,75.61837843394247,75.61837843394247,0.0,0.19523094926287463,4
cleaning,south,gold,0.0,60.39604418258758,60.39604418258758,0.0,0.22244280318153714,625
personal care,central,gold,0.0,98.15690768114577,98.15690768114577,0.0,0.12652020973471817,25
outdoors,central,silver,0.0,82.66757529903151,82.66757529903151,0.0,0.43272010272731026,36
kitchen,west,silver,0.0,60.788347604018824,60.788347604018824,0.0,0.48465435591440664,25
kitchen,west,bronze,0.0,33.49973867701216,33.49973867701216,0.0,0.0,9
kitchen,south,silver,0.0,47.419964471897856,47.419964471897856,0.0,0.2386620854419193,25
cleaning,west,bronze,0.0,67.63965650303963,67.63965650303963,0.0,0.20174454352006077,100
kitchen,central,bronze,0.0,45.28739015167941,45.28739015167941,0.0,0.08089003770401672,16
cleaning,central,bronze,0.0,61.89838988072048,61.89838988072048,0.0,0.16213659465908617,169
personal care,central,nan,0.0,50.73199897345516,50.73199897345516,0.0,0.0,1
personal care,west,gold,0.0,99.76014706126458,99.76014706126458,0.0,0.1718049079613072,144
cleaning,central,gld,0.0,53.21535860197349,53.21535860197349,0.0,0.0,1
storage,west,bronze,0.0,86.98396608759703,86.98396608759703,0.0,0.41122913811953266,25
