feature,coefficient
loyalty_tier_sllver,56.84913214566706
loyalty_tier_brnze,-28.958041907231486
category_None,21.77695862403418
loyalty_tier_None,-18.995864024200667
loyalty_tier_nan,16.521741526808256
loyalty_tier_gld,-10.690255913672026
discount_applied,-7.881033177403746
loyalty_tier_bronze,-6.46833247027751
category_outdoors,-6.160479570391889
category_cleaning,-5.639634834664016
loyalty_tier_silver,-4.264516344899578
loyalty_tier_gold,-3.9938630121940513
category_kitchen,-3.97937886361428
category_personal care,-3.279218282810633
unit_price,3.057228500196786
category_storage,-2.718247072553357
region_north,-2.3869638804755398
region_south,1.9972215917517306
region_west,1.5705567560442062
region_central,-0.851695995955663
region_east,-0.32911847136468103
base_price,-0.051162163314337816
order_month,-1.5987211554602254e-14
order_dow,-7.105427357601002e-15
